County,Number of Productions,Total Production Spend ($M),MT Production Expenditures ($M),Resident Employee Compensation ($M),Total Montana Production Spend ($M),Non-Resident Employee Compensation ($M)
Beaverhead,4,$4.20 ,$1.90 ,$1.10 ,$2.90 ,$1.30 
Big Horn,5,$0.20 ,$0.10 ,$0.10 ,$0.10 ,$0.10 
Blaine,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Broadwater,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Carbon,7,$0.50 ,$0.20 ,$0.10 ,$0.40 ,$0.20 
Carter,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Cascade,14,$1.30 ,$0.60 ,$0.30 ,$0.90 ,$0.40 
Chouteau,3,$0.50 ,$0.20 ,$0.10 ,$0.30 ,$0.20 
Custer,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Daniels,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Dawson,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Deer Lodge,4,$0.10 ,$0.00 ,$0.00 ,$0.10 ,$0.00 
Fallon,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Fergus,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Flathead,13,$0.60 ,$0.40 ,$0.10 ,$0.50 ,$0.10 
Gallatin,48,$24.70 ,$10.80 ,$6.20 ,$17.00 ,$7.60 
Garfield,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Glacier,11,$1.40 ,$0.60 ,$0.30 ,$0.90 ,$0.40 
Golden Valley,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Granite,4,$0.30 ,$0.10 ,$0.10 ,$0.20 ,$0.10 
Hill,6,$0.20 ,$0.10 ,$0.10 ,$0.10 ,$0.10 
Jefferson,2,$0.10 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Judith Basin,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Lake,10,$0.40 ,$0.20 ,$0.10 ,$0.30 ,$0.10 
Lewis and Clark,18,$5.30 ,$2.40 ,$1.30 ,$3.70 ,$1.60 
Liberty,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Lincoln,6,$0.30 ,$0.10 ,$0.10 ,$0.20 ,$0.10 
Madison,18,$16.90 ,$7.40 ,$4.10 ,$11.50 ,$5.40 
McCone,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Meagher,4,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Mineral,3,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Missoula,53,$32.80 ,$14.50 ,$8.30 ,$22.80 ,$9.90 
Musselshell,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Park,26,$17.90 ,$8.00 ,$4.50 ,$12.50 ,$5.40 
Petroleum,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Phillips,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Pondera,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Powder River,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Powell,7,$0.30 ,$0.20 ,$0.10 ,$0.30 ,$0.10 
Prairie,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Ravalli,10,$5.40 ,$2.40 ,$1.40 ,$3.80 ,$1.60 
Richland,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Roosevelt,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Rosebud,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Sanders,4,$0.30 ,$0.10 ,$0.10 ,$0.20 ,$0.00 
Sheridan,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Silver Bow,15,$26.60 ,$11.80 ,$6.70 ,$18.50 ,$8.00 
Stillwater,5,$0.30 ,$0.10 ,$0.10 ,$0.20 ,$0.10 
Sweet Grass,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Teton,5,$0.60 ,$0.30 ,$0.20 ,$0.40 ,$0.20 
Toole,2,$0.40 ,$0.20 ,$0.10 ,$0.30 ,$0.10 
Treasure,1,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Valley,3,$0.10 ,$0.10 ,$0.00 ,$0.10 ,$0.00 
Wheatland,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Wibaux,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
Yellowstone,21,$3.00 ,$1.30 ,$0.70 ,$2.10 ,$0.90 
