"EventGroup","ImpactType","value","geography","table"
"Beaverhead","Direct",29647.2080912779,"Beaverhead County, MT (2024)","Impact"
"Beaverhead","Indirect",16477.0764346787,"Beaverhead County, MT (2024)","Impact"
"Beaverhead","Induced",4115.41557606654,"Beaverhead County, MT (2024)","Impact"
"Gallatin","Indirect",729.074930434961,"Beaverhead County, MT (2024)","Impact"
"Gallatin","Induced",392.62499894688,"Beaverhead County, MT (2024)","Impact"
"Gallatin_MA","Indirect",5490.27666516777,"Beaverhead County, MT (2024)","Impact"
"Gallatin_MA","Induced",3160.86075364453,"Beaverhead County, MT (2024)","Impact"
"Lewis and Clark","Induced",72.634241804675,"Beaverhead County, MT (2024)","Impact"
"Madison","Indirect",1383.81317104505,"Beaverhead County, MT (2024)","Impact"
"Madison","Induced",7746.78715144562,"Beaverhead County, MT (2024)","Impact"
"Madison_MA","Indirect",6597.95506328735,"Beaverhead County, MT (2024)","Impact"
"Madison_MA","Induced",33263.4018879269,"Beaverhead County, MT (2024)","Impact"
"Missoula","Indirect",277.561906212177,"Beaverhead County, MT (2024)","Impact"
"Missoula","Induced",13.9380901122423,"Beaverhead County, MT (2024)","Impact"
"Park","Indirect",425.361901759007,"Beaverhead County, MT (2024)","Impact"
"Park","Induced",211.473968277188,"Beaverhead County, MT (2024)","Impact"
"Park_MA","Indirect",718.195107045257,"Beaverhead County, MT (2024)","Impact"
"Park_MA","Induced",293.370221921822,"Beaverhead County, MT (2024)","Impact"
"Ravalli","Indirect",370.295246056961,"Beaverhead County, MT (2024)","Impact"
"Ravalli","Induced",28.0173940062831,"Beaverhead County, MT (2024)","Impact"
"Silver Bow","Indirect",748.790900604784,"Beaverhead County, MT (2024)","Impact"
"Silver Bow","Induced",143.039402698426,"Beaverhead County, MT (2024)","Impact"
"Beaverhead","Indirect",1043.45837555627,"Gallatin County, MT (2024)","Impact"
"Beaverhead","Induced",194.165978183958,"Gallatin County, MT (2024)","Impact"
"Cascade","Indirect",3657.66680940372,"Gallatin County, MT (2024)","Impact"
"Cascade","Induced",628.811992939056,"Gallatin County, MT (2024)","Impact"
"Gallatin","Direct",1070787.56119606,"Gallatin County, MT (2024)","Impact"
"Gallatin","Indirect",602749.582873753,"Gallatin County, MT (2024)","Impact"
"Gallatin","Induced",237667.773086456,"Gallatin County, MT (2024)","Impact"
"Gallatin_MA","Direct",7684833.41877507,"Gallatin County, MT (2024)","Impact"
"Gallatin_MA","Indirect",4337689.37481632,"Gallatin County, MT (2024)","Impact"
"Gallatin_MA","Induced",1708791.38628506,"Gallatin County, MT (2024)","Impact"
"Glacier","Indirect",625.64935473848,"Gallatin County, MT (2024)","Impact"
"Glacier","Induced",56.690824174664,"Gallatin County, MT (2024)","Impact"
"Lewis and Clark","Indirect",6283.77472445995,"Gallatin County, MT (2024)","Impact"
"Lewis and Clark","Induced",1800.93931346984,"Gallatin County, MT (2024)","Impact"
"Madison","Indirect",16750.1251547225,"Gallatin County, MT (2024)","Impact"
"Madison","Induced",151768.06894317,"Gallatin County, MT (2024)","Impact"
"Madison_MA","Indirect",72699.3909584467,"Gallatin County, MT (2024)","Impact"
"Madison_MA","Induced",646603.140918014,"Gallatin County, MT (2024)","Impact"
"Missoula","Indirect",1009.97248819523,"Gallatin County, MT (2024)","Impact"
"Missoula","Induced",208.082746401347,"Gallatin County, MT (2024)","Impact"
"Missoula_MA","Indirect",311.881821973101,"Gallatin County, MT (2024)","Impact"
"Missoula_MA","Induced",25.4798394601023,"Gallatin County, MT (2024)","Impact"
"Park","Indirect",799031.87015177,"Gallatin County, MT (2024)","Impact"
"Park","Induced",133306.757264202,"Gallatin County, MT (2024)","Impact"
"Park_MA","Indirect",1055885.24102149,"Gallatin County, MT (2024)","Impact"
"Park_MA","Induced",176257.379099741,"Gallatin County, MT (2024)","Impact"
"Ravalli","Indirect",148.860034042977,"Gallatin County, MT (2024)","Impact"
"Ravalli","Induced",32.5475276833991,"Gallatin County, MT (2024)","Impact"
"Rest of MT","Indirect",12126.3170183396,"Gallatin County, MT (2024)","Impact"
"Rest of MT","Induced",2821.24587143385,"Gallatin County, MT (2024)","Impact"
"Rest of MT_MA","Indirect",402.765103492809,"Gallatin County, MT (2024)","Impact"
"Rest of MT_MA","Induced",69.0553658200984,"Gallatin County, MT (2024)","Impact"
"Silver Bow","Indirect",524.653017616035,"Gallatin County, MT (2024)","Impact"
"Silver Bow","Induced",69.7311334601955,"Gallatin County, MT (2024)","Impact"
"Yellowstone","Indirect",3293.8513538392,"Gallatin County, MT (2024)","Impact"
"Yellowstone","Induced",561.918695356462,"Gallatin County, MT (2024)","Impact"
"Yellowstone_MA","Indirect",32728.3416618853,"Gallatin County, MT (2024)","Impact"
"Yellowstone_MA","Induced",6241.38774390747,"Gallatin County, MT (2024)","Impact"
"Beaverhead","Induced",176.42548652919,"Madison County, MT (2024)","Impact"
"Gallatin","Indirect",18582.8689486026,"Madison County, MT (2024)","Impact"
"Gallatin","Induced",2739.24279166242,"Madison County, MT (2024)","Impact"
"Gallatin_MA","Indirect",136632.893425987,"Madison County, MT (2024)","Impact"
"Gallatin_MA","Induced",20099.7181952471,"Madison County, MT (2024)","Impact"
"Lewis and Clark","Induced",133.377431425847,"Madison County, MT (2024)","Impact"
"Madison","Direct",2178522.00950192,"Madison County, MT (2024)","Impact"
"Madison","Indirect",587090.865790124,"Madison County, MT (2024)","Impact"
"Madison","Induced",318535.830118785,"Madison County, MT (2024)","Impact"
"Madison_MA","Direct",9265355.64248404,"Madison County, MT (2024)","Impact"
"Madison_MA","Indirect",2496924.81520672,"Madison County, MT (2024)","Impact"
"Madison_MA","Induced",1354965.49268907,"Madison County, MT (2024)","Impact"
"Missoula","Induced",104.61993341963,"Madison County, MT (2024)","Impact"
"Park","Indirect",9832.11678122978,"Madison County, MT (2024)","Impact"
"Park","Induced",1403.90462548557,"Madison County, MT (2024)","Impact"
"Park_MA","Indirect",13115.1994555826,"Madison County, MT (2024)","Impact"
"Park_MA","Induced",1868.74584562779,"Madison County, MT (2024)","Impact"
"Rest of MT","Indirect",128.824304790801,"Madison County, MT (2024)","Impact"
"Rest of MT","Induced",140.407568409056,"Madison County, MT (2024)","Impact"
"Beaverhead","Indirect",217.68123795306,"Rest of MT (2024)","Impact"
"Beaverhead","Induced",21.992908729289,"Rest of MT (2024)","Impact"
"Cascade","Indirect",5029.93911172831,"Rest of MT (2024)","Impact"
"Cascade","Induced",1521.36043128603,"Rest of MT (2024)","Impact"
"Gallatin","Indirect",5475.12779360787,"Rest of MT (2024)","Impact"
"Gallatin","Induced",3976.13016862017,"Rest of MT (2024)","Impact"
"Gallatin_MA","Indirect",47393.921214601,"Rest of MT (2024)","Impact"
"Gallatin_MA","Induced",31590.1032383376,"Rest of MT (2024)","Impact"
"Glacier","Indirect",41293.5230516037,"Rest of MT (2024)","Impact"
"Glacier","Induced",7248.30649719312,"Rest of MT (2024)","Impact"
"Lewis and Clark","Indirect",2779.28734071577,"Rest of MT (2024)","Impact"
"Lewis and Clark","Induced",22766.7456635572,"Rest of MT (2024)","Impact"
"Madison","Indirect",550.203068072314,"Rest of MT (2024)","Impact"
"Madison","Induced",7033.62099740447,"Rest of MT (2024)","Impact"
"Madison_MA","Indirect",4174.64431527561,"Rest of MT (2024)","Impact"
"Madison_MA","Induced",31096.1017356148,"Rest of MT (2024)","Impact"
"Missoula","Indirect",4720.47287524152,"Rest of MT (2024)","Impact"
"Missoula","Induced",8095.81550849519,"Rest of MT (2024)","Impact"
"Missoula_MA","Indirect",1135.70669573769,"Rest of MT (2024)","Impact"
"Missoula_MA","Induced",2423.25638924768,"Rest of MT (2024)","Impact"
"Park","Indirect",50279.4611938458,"Rest of MT (2024)","Impact"
"Park","Induced",10362.6959710063,"Rest of MT (2024)","Impact"
"Park_MA","Indirect",66956.6992219955,"Rest of MT (2024)","Impact"
"Park_MA","Induced",13783.972614556,"Rest of MT (2024)","Impact"
"Ravalli","Indirect",609.780134616617,"Rest of MT (2024)","Impact"
"Ravalli","Induced",383.556408801014,"Rest of MT (2024)","Impact"
"Rest of MT","Direct",1335407.45509122,"Rest of MT (2024)","Impact"
"Rest of MT","Indirect",738847.816704459,"Rest of MT (2024)","Impact"
"Rest of MT","Induced",211631.444647408,"Rest of MT (2024)","Impact"
"Rest of MT_MA","Direct",96731.6938355502,"Rest of MT (2024)","Impact"
"Rest of MT_MA","Indirect",53519.2465221324,"Rest of MT (2024)","Impact"
"Rest of MT_MA","Induced",15311.6039744372,"Rest of MT (2024)","Impact"
"Silver Bow","Indirect",734.09652993411,"Rest of MT (2024)","Impact"
"Silver Bow","Induced",978.447248509788,"Rest of MT (2024)","Impact"
"Yellowstone","Indirect",10964.7540338133,"Rest of MT (2024)","Impact"
"Yellowstone","Induced",2443.47184451528,"Rest of MT (2024)","Impact"
"Yellowstone_MA","Indirect",106273.263492425,"Rest of MT (2024)","Impact"
"Yellowstone_MA","Induced",23719.3139999403,"Rest of MT (2024)","Impact"
"Beaverhead","Induced",102.912830669651,"Silver Bow County, MT (2024)","Impact"
"Cascade","Indirect",286.425015743605,"Silver Bow County, MT (2024)","Impact"
"Cascade","Induced",65.5871175875772,"Silver Bow County, MT (2024)","Impact"
"Gallatin","Indirect",3245.22145326699,"Silver Bow County, MT (2024)","Impact"
"Gallatin","Induced",801.631832045904,"Silver Bow County, MT (2024)","Impact"
"Gallatin_MA","Indirect",25391.8883257755,"Silver Bow County, MT (2024)","Impact"
"Gallatin_MA","Induced",6653.9251179004,"Silver Bow County, MT (2024)","Impact"
"Lewis and Clark","Indirect",2323.72474583842,"Silver Bow County, MT (2024)","Impact"
"Lewis and Clark","Induced",1342.47461512597,"Silver Bow County, MT (2024)","Impact"
"Madison","Indirect",4300.66234221571,"Silver Bow County, MT (2024)","Impact"
"Madison","Induced",3298.32978672168,"Silver Bow County, MT (2024)","Impact"
"Madison_MA","Indirect",19774.6056622284,"Silver Bow County, MT (2024)","Impact"
"Madison_MA","Induced",15170.4670312107,"Silver Bow County, MT (2024)","Impact"
"Missoula","Indirect",840.023835789125,"Silver Bow County, MT (2024)","Impact"
"Missoula","Induced",145.053266234449,"Silver Bow County, MT (2024)","Impact"
"Missoula_MA","Indirect",119.535465493937,"Silver Bow County, MT (2024)","Impact"
"Missoula_MA","Induced",10.620215268537,"Silver Bow County, MT (2024)","Impact"
"Park","Indirect",1659.62483409218,"Silver Bow County, MT (2024)","Impact"
"Park","Induced",409.327494938257,"Silver Bow County, MT (2024)","Impact"
"Park_MA","Indirect",2564.69435611364,"Silver Bow County, MT (2024)","Impact"
"Park_MA","Induced",669.410210192153,"Silver Bow County, MT (2024)","Impact"
"Ravalli","Indirect",340.278745607655,"Silver Bow County, MT (2024)","Impact"
"Ravalli","Induced",42.8799678703016,"Silver Bow County, MT (2024)","Impact"
"Rest of MT","Indirect",2422.04609581678,"Silver Bow County, MT (2024)","Impact"
"Rest of MT","Induced",1860.20591692496,"Silver Bow County, MT (2024)","Impact"
"Rest of MT_MA","Induced",102.350876529144,"Silver Bow County, MT (2024)","Impact"
"Silver Bow","Direct",64935.142783004,"Silver Bow County, MT (2024)","Impact"
"Silver Bow","Indirect",31502.0160841679,"Silver Bow County, MT (2024)","Impact"
"Silver Bow","Induced",13091.1514968611,"Silver Bow County, MT (2024)","Impact"
"Yellowstone","Indirect",212.439556388972,"Silver Bow County, MT (2024)","Impact"
"Yellowstone","Induced",17.1168787926266,"Silver Bow County, MT (2024)","Impact"
"Yellowstone_MA","Indirect",2126.87203233262,"Silver Bow County, MT (2024)","Impact"
"Yellowstone_MA","Induced",798.308171564724,"Silver Bow County, MT (2024)","Impact"
"Cascade","Direct",247001.720045705,"Cascade County, MT (2024)","Impact"
"Cascade","Indirect",125634.856630567,"Cascade County, MT (2024)","Impact"
"Cascade","Induced",42490.9051970029,"Cascade County, MT (2024)","Impact"
"Gallatin","Indirect",291.13867925153,"Cascade County, MT (2024)","Impact"
"Gallatin","Induced",157.888099686723,"Cascade County, MT (2024)","Impact"
"Gallatin_MA","Indirect",3691.11487623163,"Cascade County, MT (2024)","Impact"
"Gallatin_MA","Induced",2092.6644805517,"Cascade County, MT (2024)","Impact"
"Glacier","Indirect",839.678727483059,"Cascade County, MT (2024)","Impact"
"Glacier","Induced",130.983567111321,"Cascade County, MT (2024)","Impact"
"Lewis and Clark","Indirect",6992.53963319435,"Cascade County, MT (2024)","Impact"
"Lewis and Clark","Induced",3533.80821823688,"Cascade County, MT (2024)","Impact"
"Madison","Indirect",247.223989643073,"Cascade County, MT (2024)","Impact"
"Madison","Induced",842.580351075388,"Cascade County, MT (2024)","Impact"
"Madison_MA","Indirect",1274.15479800375,"Cascade County, MT (2024)","Impact"
"Madison_MA","Induced",3599.19184130608,"Cascade County, MT (2024)","Impact"
"Missoula","Indirect",872.327640914254,"Cascade County, MT (2024)","Impact"
"Missoula","Induced",402.56721704647,"Cascade County, MT (2024)","Impact"
"Missoula_MA","Indirect",269.376777274397,"Cascade County, MT (2024)","Impact"
"Missoula_MA","Induced",124.313680408712,"Cascade County, MT (2024)","Impact"
"Park_MA","Indirect",109.576643059478,"Cascade County, MT (2024)","Impact"
"Park_MA","Induced",72.1384583996255,"Cascade County, MT (2024)","Impact"
"Ravalli","Indirect",483.985487140763,"Cascade County, MT (2024)","Impact"
"Ravalli","Induced",22.0392349087621,"Cascade County, MT (2024)","Impact"
"Rest of MT","Indirect",1572.55432036548,"Cascade County, MT (2024)","Impact"
"Rest of MT","Induced",1484.22145633582,"Cascade County, MT (2024)","Impact"
"Yellowstone_MA","Induced",197.158643487083,"Cascade County, MT (2024)","Impact"
"Cascade","Indirect",224.658214884164,"Glacier County, MT (2024)","Impact"
"Cascade","Induced",12.6341507700819,"Glacier County, MT (2024)","Impact"
"Gallatin_MA","Indirect",129.154781793036,"Glacier County, MT (2024)","Impact"
"Gallatin_MA","Induced",7.69845259020934,"Glacier County, MT (2024)","Impact"
"Glacier","Direct",192732.643796814,"Glacier County, MT (2024)","Impact"
"Glacier","Indirect",107690.848995882,"Glacier County, MT (2024)","Impact"
"Glacier","Induced",11746.9369146867,"Glacier County, MT (2024)","Impact"
"Lewis and Clark","Indirect",119.044920592792,"Glacier County, MT (2024)","Impact"
"Lewis and Clark","Induced",7.16825494633316,"Glacier County, MT (2024)","Impact"
"Rest of MT","Indirect",920.410553065892,"Glacier County, MT (2024)","Impact"
