"EventGroup","ImpactType","value","geography","table"
"MISSING24","Direct",104732.742646476,"Montana (2024)","Impact"
"MISSING24","Indirect",62066.8744558652,"Montana (2024)","Impact"
"MISSING24","Induced",27936.6303050508,"Montana (2024)","Impact"
"MISSING25","Direct",342965.907471558,"Montana (2024)","Impact"
"MISSING25","Indirect",203248.968601275,"Montana (2024)","Impact"
"MISSING25","Induced",91483.441779146,"Montana (2024)","Impact"
"MISSING24","Direct",18039.2928216534,"Montana (2024)","Employee Compensation"
"MISSING24","Indirect",11683.0589364067,"Montana (2024)","Employee Compensation"
"MISSING24","Induced",7486.95634673817,"Montana (2024)","Employee Compensation"
"MISSING25","Direct",59072.8579848919,"Montana (2024)","Employee Compensation"
"MISSING25","Indirect",38258.2448326941,"Montana (2024)","Employee Compensation"
"MISSING25","Induced",24517.3640331989,"Montana (2024)","Employee Compensation"
"MISSING24","Direct",0.360063825924199,"Montana (2024)","FTE"
"MISSING24","Indirect",0.270533020211158,"Montana (2024)","FTE"
"MISSING24","Induced",0.133554219792455,"Montana (2024)","FTE"
"MISSING25","Direct",1.17909274296971,"Montana (2024)","FTE"
"MISSING25","Indirect",0.885908269307249,"Montana (2024)","FTE"
"MISSING25","Induced",0.437346936882839,"Montana (2024)","FTE"
"MISSING24","Direct",14926.2573610968,"Montana (2024)","Total Wage"
"MISSING24","Indirect",9868.78670759186,"Montana (2024)","Total Wage"
"MISSING24","Induced",6311.10889842543,"Montana (2024)","Total Wage"
"MISSING25","Direct",48878.6722437161,"Montana (2024)","Total Wage"
"MISSING25","Indirect",32317.0892243064,"Montana (2024)","Total Wage"
"MISSING25","Induced",20666.8433940141,"Montana (2024)","Total Wage"
"MISSING24","Direct",40471.7938048516,"Montana (2024)","Value Added"
"MISSING24","Indirect",26357.8799412617,"Montana (2024)","Value Added"
"MISSING24","Induced",16328.4841661766,"Montana (2024)","Value Added"
"MISSING25","Direct",132532.053859564,"Montana (2024)","Value Added"
"MISSING25","Indirect",86313.5442141059,"Montana (2024)","Value Added"
"MISSING25","Induced",53470.512164384,"Montana (2024)","Value Added"
