"NAICS_2","FTE","EventGroup","table"
"11 Agriculture, Forestry, Fishing and Hunting",0.00548202289500532,"Beaverhead_MA","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00922054641549831,"Beaverhead_MA","All Impacts"
"22 Utilities",0.0289034504284378,"Beaverhead_MA","All Impacts"
"23 Construction",0.0996316193400048,"Beaverhead_MA","All Impacts"
"31-33 Manufacturing",0.0173786965020734,"Beaverhead_MA","All Impacts"
"42 Wholesale Trade",0.0787187822437605,"Beaverhead_MA","All Impacts"
"44-45 Retail Trade",0.459443975020012,"Beaverhead_MA","All Impacts"
"48-49 Transportation and Warehousing",0.345869831528627,"Beaverhead_MA","All Impacts"
"51 Information",14.1853225887477,"Beaverhead_MA","All Impacts"
"52 Finance and Insurance",0.694590740004906,"Beaverhead_MA","All Impacts"
"53 Real Estate and Rental and Leasing",1.08335163622483,"Beaverhead_MA","All Impacts"
"54 Professional, Scientific, and Technical Services",0.798921469436415,"Beaverhead_MA","All Impacts"
"55 Management of Companies and Enterprises",0.0215307353585296,"Beaverhead_MA","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.552745663990182,"Beaverhead_MA","All Impacts"
"61 Educational Services",0.0724829374500564,"Beaverhead_MA","All Impacts"
"62 Health Care and Social Assistance",0.601952330752818,"Beaverhead_MA","All Impacts"
"71 Arts, Entertainment, and Recreation",1.49561824703676,"Beaverhead_MA","All Impacts"
"72 Accommodation and Food Services",0.488907474703775,"Beaverhead_MA","All Impacts"
"81 Other Services (except Public Administration)",0.476394145804507,"Beaverhead_MA","All Impacts"
"9A Government Enterprises",0.0681804121901261,"Beaverhead_MA","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00548202289500532,"Beaverhead_MA","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.00922054641549831,"Beaverhead_MA","Indirect & Induced Impacts"
"22 Utilities",0.0289034504284378,"Beaverhead_MA","Indirect & Induced Impacts"
"23 Construction",0.0996316193400048,"Beaverhead_MA","Indirect & Induced Impacts"
"31-33 Manufacturing",0.0173786965020734,"Beaverhead_MA","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0787187822437605,"Beaverhead_MA","Indirect & Induced Impacts"
"44-45 Retail Trade",0.459443975020012,"Beaverhead_MA","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.345869831528627,"Beaverhead_MA","Indirect & Induced Impacts"
"51 Information",3.37685819814985,"Beaverhead_MA","Indirect & Induced Impacts"
"52 Finance and Insurance",0.694590740004906,"Beaverhead_MA","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",1.08335163622483,"Beaverhead_MA","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.798921469436415,"Beaverhead_MA","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.0215307353585296,"Beaverhead_MA","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.552745663990182,"Beaverhead_MA","Indirect & Induced Impacts"
"61 Educational Services",0.0724829374500564,"Beaverhead_MA","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.601952330752818,"Beaverhead_MA","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",1.49561824703676,"Beaverhead_MA","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.488907474703775,"Beaverhead_MA","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.476394145804507,"Beaverhead_MA","Indirect & Induced Impacts"
"9A Government Enterprises",0.0681804121901261,"Beaverhead_MA","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00101922826906401,"Cascade","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000175963628038736,"Cascade","All Impacts"
"22 Utilities",0.00504726604288788,"Cascade","All Impacts"
"23 Construction",0.0083570640148617,"Cascade","All Impacts"
"31-33 Manufacturing",0.00487672944138012,"Cascade","All Impacts"
"42 Wholesale Trade",0.0131423805286541,"Cascade","All Impacts"
"44-45 Retail Trade",0.060891918277224,"Cascade","All Impacts"
"48-49 Transportation and Warehousing",0.0513215905813179,"Cascade","All Impacts"
"51 Information",1.75634128061166,"Cascade","All Impacts"
"52 Finance and Insurance",0.099660103298181,"Cascade","All Impacts"
"53 Real Estate and Rental and Leasing",0.114617272442198,"Cascade","All Impacts"
"54 Professional, Scientific, and Technical Services",0.101930827404037,"Cascade","All Impacts"
"55 Management of Companies and Enterprises",0.0133421727992376,"Cascade","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0941610100903527,"Cascade","All Impacts"
"61 Educational Services",0.010358069684627,"Cascade","All Impacts"
"62 Health Care and Social Assistance",0.084192315630102,"Cascade","All Impacts"
"71 Arts, Entertainment, and Recreation",0.23004621325656,"Cascade","All Impacts"
"72 Accommodation and Food Services",0.0564819536102677,"Cascade","All Impacts"
"81 Other Services (except Public Administration)",0.0437931793899934,"Cascade","All Impacts"
"9A Government Enterprises",0.0111860408505112,"Cascade","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00101922826906401,"Cascade","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000175963628038736,"Cascade","Indirect & Induced Impacts"
"22 Utilities",0.00504726604288788,"Cascade","Indirect & Induced Impacts"
"23 Construction",0.0083570640148617,"Cascade","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00487672944138012,"Cascade","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0131423805286541,"Cascade","Indirect & Induced Impacts"
"44-45 Retail Trade",0.060891918277224,"Cascade","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0513215905813179,"Cascade","Indirect & Induced Impacts"
"51 Information",0.269181382615236,"Cascade","Indirect & Induced Impacts"
"52 Finance and Insurance",0.099660103298181,"Cascade","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.114617272442198,"Cascade","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.101930827404037,"Cascade","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.0133421727992376,"Cascade","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0941610100903527,"Cascade","Indirect & Induced Impacts"
"61 Educational Services",0.010358069684627,"Cascade","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.084192315630102,"Cascade","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.23004621325656,"Cascade","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.0564819536102677,"Cascade","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.0437931793899934,"Cascade","Indirect & Induced Impacts"
"9A Government Enterprises",0.0111860408505112,"Cascade","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.000869535720766411,"Cascade_MA","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000149815175686489,"Cascade_MA","All Impacts"
"22 Utilities",0.00424922010306821,"Cascade_MA","All Impacts"
"23 Construction",0.00712991918479843,"Cascade_MA","All Impacts"
"31-33 Manufacturing",0.00416111724146028,"Cascade_MA","All Impacts"
"42 Wholesale Trade",0.0112128786246299,"Cascade_MA","All Impacts"
"44-45 Retail Trade",0.0519494342538795,"Cascade_MA","All Impacts"
"48-49 Transportation and Warehousing",0.0437751247885519,"Cascade_MA","All Impacts"
"51 Information",1.4986599297796,"Cascade_MA","All Impacts"
"52 Finance and Insurance",0.0850181057993326,"Cascade_MA","All Impacts"
"53 Real Estate and Rental and Leasing",0.0977907639490378,"Cascade_MA","All Impacts"
"54 Professional, Scientific, and Technical Services",0.0869628859833155,"Cascade_MA","All Impacts"
"55 Management of Companies and Enterprises",0.0113846955507808,"Cascade_MA","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0803118707369648,"Cascade_MA","All Impacts"
"61 Educational Services",0.00881227513222669,"Cascade_MA","All Impacts"
