"NAICS_2","FTE","EventGroup","table"
"11 Agriculture, Forestry, Fishing and Hunting",0.000732611693451367,"MISSING24","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000175442077137888,"MISSING24","All Impacts"
"22 Utilities",0.00112442391509329,"MISSING24","All Impacts"
"23 Construction",0.00300836210098431,"MISSING24","All Impacts"
"31-33 Manufacturing",0.00160082211994796,"MISSING24","All Impacts"
"42 Wholesale Trade",0.00506677861318306,"MISSING24","All Impacts"
"44-45 Retail Trade",0.0227827878050565,"MISSING24","All Impacts"
"48-49 Transportation and Warehousing",0.0161787375481532,"MISSING24","All Impacts"
"51 Information",0.445742814996998,"MISSING24","All Impacts"
"52 Finance and Insurance",0.0265618403954083,"MISSING24","All Impacts"
"53 Real Estate and Rental and Leasing",0.0328876220182118,"MISSING24","All Impacts"
"54 Professional, Scientific, and Technical Services",0.0315817955271073,"MISSING24","All Impacts"
"55 Management of Companies and Enterprises",0.00187802744992247,"MISSING24","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0279004823781979,"MISSING24","All Impacts"
"61 Educational Services",0.00431248998807701,"MISSING24","All Impacts"
"62 Health Care and Social Assistance",0.0304279292684362,"MISSING24","All Impacts"
"71 Arts, Entertainment, and Recreation",0.0703844735795669,"MISSING24","All Impacts"
"72 Accommodation and Food Services",0.0202645993972093,"MISSING24","All Impacts"
"81 Other Services (except Public Administration)",0.0186515570571898,"MISSING24","All Impacts"
"9A Government Enterprises",0.00288746799848008,"MISSING24","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.000732611693451367,"MISSING24","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000175442077137888,"MISSING24","Indirect & Induced Impacts"
"22 Utilities",0.00112442391509329,"MISSING24","Indirect & Induced Impacts"
"23 Construction",0.00300836210098431,"MISSING24","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00160082211994796,"MISSING24","Indirect & Induced Impacts"
"42 Wholesale Trade",0.00506677861318306,"MISSING24","Indirect & Induced Impacts"
"44-45 Retail Trade",0.0227827878050565,"MISSING24","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0161787375481532,"MISSING24","Indirect & Induced Impacts"
"51 Information",0.0856789890727985,"MISSING24","Indirect & Induced Impacts"
"52 Finance and Insurance",0.0265618403954083,"MISSING24","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.0328876220182118,"MISSING24","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.0315817955271073,"MISSING24","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.00187802744992247,"MISSING24","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0279004823781979,"MISSING24","Indirect & Induced Impacts"
"61 Educational Services",0.00431248998807701,"MISSING24","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.0304279292684362,"MISSING24","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.0703844735795669,"MISSING24","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.0202645993972093,"MISSING24","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.0186515570571898,"MISSING24","Indirect & Induced Impacts"
"9A Government Enterprises",0.00288746799848008,"MISSING24","Indirect & Induced Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00239906669031814,"MISSING25","All Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000574516141503103,"MISSING25","All Impacts"
"22 Utilities",0.00368212517573813,"MISSING25","All Impacts"
"23 Construction",0.00985141429409363,"MISSING25","All Impacts"
"31-33 Manufacturing",0.00524217543812184,"MISSING25","All Impacts"
"42 Wholesale Trade",0.0165920635812384,"MISSING25","All Impacts"
"44-45 Retail Trade",0.0746062720869273,"MISSING25","All Impacts"
"48-49 Transportation and Warehousing",0.0529801403528241,"MISSING25","All Impacts"
"51 Information",1.45966376112576,"MISSING25","All Impacts"
"52 Finance and Insurance",0.0869814488299603,"MISSING25","All Impacts"
"53 Real Estate and Rental and Leasing",0.10769634065758,"MISSING25","All Impacts"
"54 Professional, Scientific, and Technical Services",0.103420180631543,"MISSING25","All Impacts"
"55 Management of Companies and Enterprises",0.00614993336700161,"MISSING25","All Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0913650689931093,"MISSING25","All Impacts"
"61 Educational Services",0.0141220119405763,"MISSING25","All Impacts"
"62 Health Care and Social Assistance",0.099641641289346,"MISSING25","All Impacts"
"71 Arts, Entertainment, and Recreation",0.23048641946298,"MISSING25","All Impacts"
"72 Accommodation and Food Services",0.0663600183303831,"MISSING25","All Impacts"
"81 Other Services (except Public Administration)",0.0610778256181938,"MISSING25","All Impacts"
"9A Government Enterprises",0.00945552515259297,"MISSING25","All Impacts"
"11 Agriculture, Forestry, Fishing and Hunting",0.00239906669031814,"MISSING25","Indirect & Induced Impacts"
"21 Mining, Quarrying, and Oil and Gas Extraction",0.000574516141503103,"MISSING25","Indirect & Induced Impacts"
"22 Utilities",0.00368212517573813,"MISSING25","Indirect & Induced Impacts"
"23 Construction",0.00985141429409363,"MISSING25","Indirect & Induced Impacts"
"31-33 Manufacturing",0.00524217543812184,"MISSING25","Indirect & Induced Impacts"
"42 Wholesale Trade",0.0165920635812384,"MISSING25","Indirect & Induced Impacts"
"44-45 Retail Trade",0.0746062720869273,"MISSING25","Indirect & Induced Impacts"
"48-49 Transportation and Warehousing",0.0529801403528241,"MISSING25","Indirect & Induced Impacts"
"51 Information",0.280571018156056,"MISSING25","Indirect & Induced Impacts"
"52 Finance and Insurance",0.0869814488299603,"MISSING25","Indirect & Induced Impacts"
"53 Real Estate and Rental and Leasing",0.10769634065758,"MISSING25","Indirect & Induced Impacts"
"54 Professional, Scientific, and Technical Services",0.103420180631543,"MISSING25","Indirect & Induced Impacts"
"55 Management of Companies and Enterprises",0.00614993336700161,"MISSING25","Indirect & Induced Impacts"
"56 Administrative and Support and Waste Management and Remediation Services",0.0913650689931093,"MISSING25","Indirect & Induced Impacts"
"61 Educational Services",0.0141220119405763,"MISSING25","Indirect & Induced Impacts"
"62 Health Care and Social Assistance",0.099641641289346,"MISSING25","Indirect & Induced Impacts"
"71 Arts, Entertainment, and Recreation",0.23048641946298,"MISSING25","Indirect & Induced Impacts"
"72 Accommodation and Food Services",0.0663600183303831,"MISSING25","Indirect & Induced Impacts"
"81 Other Services (except Public Administration)",0.0610778256181938,"MISSING25","Indirect & Induced Impacts"
"9A Government Enterprises",0.00945552515259297,"MISSING25","Indirect & Induced Impacts"
